KEY,MAKE,BREAK,ASCII
,0,,0
F9,1,"F0,01",0
,2,,0
F5,3,"F0,03",0
F3,4,"F0,04",0
F1,5,"F0,05",0
F2,6,"F0,06",0
F12,7,"F0,07",0
,8,,0
F10,9,"F0,09",0
F8,0A,"F0,0A",0
F6,0B,"F0,0B",0
F4,0C,"F0,0C",0
TAB,0D,"F0,0D",9
`,0E,"F0,0E",60
,0F,,0
,10,,1
L ALT,11,"F0,11",2
L SHFT,12,"FO,12",3
,13,,4
L CTRL,14,"FO,14",5
Q,15,"F0,15",51
1,16,"F0,16",31
,17,,0
,18,,1
,19,,2
Z,1A,"F0,1A",5A
S,1B,"F0,1B",53
A,1C,"F0,1C",41
W,1D,"F0,1D",57
2,1E,"F0,1E",32
,1F,,0
,20,,0
C,21,"F0,21",43
X,22,"F0,22",58
D,23,"F0,23",44
E,24,"F0,24",45
4,25,"F0,25",34
3,26,"F0,26",33
,27,,0
,28,,0
SPACE,29,"F0,29",20
V,2A,"F0,2A",56
F,2B,"F0,2B",46
T,2C,"F0,2C",54
R,2D,"F0,2D",52
5,2E,"F0,2E",35
,2F,,0
,30,,0
N,31,"F0,31",4E
B,32,"F0,32",42
H,33,"F0,33",48
G,34,"F0,34",47
Y,35,"F0,35",59
6,36,"F0,36",36
,37,,0
,38,,0
,39,,0
M,3A,"F0,3A",4D
J,3B,"F0,3B",4A
U,3C,"F0,3C",55
7,3D,"F0,3D",37
8,3E,"F0,3E",38
,3F,,0
,40,,0
",",41,"F0,41",2C
K,42,"F0,42",4B
I,43,"F0,43",49
O,44,"F0,44",4F
0,45,"F0,45",30
9,46,"F0,46",39
,47,,0
,48,,0
.,49,"F0,49",2E
/,4A,"F0,4A",2F
L,4B,"F0,4B",4C
;,4C,"F0,4C",3B
P,4D,"F0,4D",50
-,4E,"F0,4E",2D
,4F,,0
,50,,0
,51,,0
',52,"F0,52",27
,53,,0
[,54,"FO,54",5B
=,55,"FO,55",3D
,56,,0
,57,,0
CAPS,58,"F0,58",0
R SHFT,59,"F0,59",0
ENTER,5A,"F0,5A",1A
],5B,"F0,5B",5D
,5C,,0
\,5D,"F0,5D",5C
,5E,,0
,5F,,1
,60,,2
,61,,3
,62,,4
,63,,5
,64,,6
,65,,7
BKSP,66,"F0,66",8
,67,,0
,68,,0
KP 1,69,"F0,69",31
,6A,,0
KP 4,6B,"F0,6B",34
KP 7,6C,"F0,6C",37
,6D,,0
,6E,,0
,6F,,0
KP 0,70,"F0,70",30
KP .,71,"F0,71",2E
KP 2,72,"F0,72",32
KP 5,73,"F0,73",35
KP 6,74,"F0,74",36
KP 8,75,"F0,75",38
ESC,76,"F0,76",0
NUM,77,"F0,77",0
F11,78,"F0,78",0
KP +,79,"F0,79",2B
KP 3,7A,"F0,7A",33
KP -,7B,"F0,7B",2D
KP *,7C,"F0,7C",2A
KP 9,7D,"F0,7D",39
SCROLL,7E,"F0,7E",0
,7F,,0